Sample,YrBP,Abies,Acer,Alnus,Betula,Carya,Corylus,Cupressaceae,Fagus,Fraxinus,Larix,Ostrya.Carpinus,Picea,Pinus,Quercus,Tilia,Tsuga,Ulmus,Amaranthaceae,Ambrosia,Artemisia,Asteraceae,Poaceae
23,4685.6,4,7,11,84,2,2,0,5,8,0,7,14,558,30,0,4,10,1,11,4,1,11
24,4929.5,3,6,7,43,1,0,0,1,2,0,5,3.5,454.5,27,0,8,11,0,9,5,2,8
25,5054,0,4,17,49,0,0,0,3,3,0,7,7,371.5,31,0,10,3,0,12,4,0,2
26,5303.9,1,3,7,37,3,1,0,1,0,0,4,14,463.5,35,1,19,13,3,14,4,1,8
27,5428.2,2.5,0,9,30,0,3,0,1,4,2,10,8,411,24,0,13,11,1,7,7,1,1
28,5553.1,0,3,7,22,0,0,0,1,4,0,10,17.5,375,39,1,10,14,3,6,6,0,3
29,5675.7,0,2,4,24,1,0,0,0,3,1,7,17,445,27,0,8,9,0,10,1,0,0
30,5800.2,0.5,3,8,23,1,2,0,0,2,0,7,13.5,496,30,0,9,9,0,5,3,3,5
31,5923.8,1,0,8,35,1,3,0,4,13,0,11,7,711,43,0,4,22,2,5,6,1,7
32,6053.1,0.5,5,9,26,1,0,0,3,2,1,7,2.5,405,16,0,5,10,3,9,5,1,4
33,6329.2,2,3,5,34,2,0,0,2,1,0,4,10.5,389.5,31,0,3,21,0,6,6,0,7
34,6633.9,0,0,10,27,1,1,0,1,4,1,4,1.5,369,28,0,2,13,0,7,1,1,5
35,6746.5,4,4,7,46,1,2,0,0,2,1,12,6,400.5,32,0,1,13,0,6,4,1,4
36,7020.3,0.5,3,4,25,1,1,0,3,3,0,7,12.5,407,25,0,0,22,0,7,4,1,4
37,7159.7,1.5,3,6,30,2,3,0,2,2,0,12,15,375.5,25,1,2,14,4,6,3,1,4
38,7297.4,1,1,2,48,4,2,0,3,6,0,19,11,664,43,0,0,18,8,5,6,2,12
39,7436.1,2.5,0,5,27,0,0,0,0,5,3,5,4,438.5,23,0,0,13,0,7,2,0,7
40,7575.3,0.5,2,7,45,1,1,0,1,1,0,9,5.5,454,22,0,0,13,2,13,2,0,6
41,7715.1,5,0,2,21,0,0,0,0,1,1,3,4.5,437,12,1,0,7,2,9,2,0,9
42,7852.6,3,3,4,60,2,1,0,0,2,0,5,9.5,373.5,28,0,0,9,2,7,7,3,7
43,8128.3,4,3,11,39,4,2,0,0,5,1,11,9,427,19,0,0,10,1,7,3,3,4
44,8267.9,7.5,1,7,33,0,2,0,0,3,0,7,17.5,387.5,26,1,0,7,5,4,10,2,7
45,8398.7,12,3,4,46,1,2,0,0,1,1,13,31,706,44,0,0,12,2,10,7,4,6
46,8498.3,0.5,0,1,15,1,0,0,0,4,0,3,10.5,234,23,0,0,11,6,14,8,1,7
47,8749.6,7,4,7,37,1,0,0,0,3,0,17,26,549,30,0,0,7,1,13,13,2,13
48,8988.1,2,1,1,38,1,4,0,0,2,3,5,20.5,392.5,22,0,0,8,2,15,5,1,5
49,9076.8,2.5,1,3,22,1,1,0,0,3,2,5,19,341.5,26,0,0,6,0,7,3,2,5
50,9168.9,17,1,3,61,0,2,0,0,6,0,16,40,501,57,0,0,35,4,9,7,0,9
51,9295.5,3,0,3,45,1,0,0,0,1,1,5,36,374.5,24,0,0,8,1,3,12,1,6
52,9313.4,4,4,2,27,0,1,0,1,3,3,16,29,263,34,0,0,11,0,5,6,0,1
53,9383.6,1,0,0,11,3,2,0,1,0,0,8,69,368,14,0,0,6,3,3,9,3,3
1,457,3.5,15,17,235,2,5,0,8,10,4,18,22.5,145,35,3,41,23,0,5,1,0,1
2,705.3,9,40,20,240,1,2,0,14,14,4,19,17.5,203,35,2,44,29,0,12,7,2,0
3,1329.6,11,18,26,290,2,1,0,6,13,3,24,14,142.5,60,4,39,30,2,10,6,1,4
4,1640.7,1,13,19,274,1,2,0,8,4,4,17,8,140.5,40,3,27,24,1,3,2,0,2
5,2268.7,2,23,25,292,1,1,0,8,6,1,12,6,193,32,3,18,34,2,6,6,1,4
6,2896.2,4,12,14,229,1,1,0,4,4,2,24,13.5,143,24,4,18,12,0,6,4,0,1
1,-29,0,4,4,49,0,0,0,0,0,1,3,5,259.5,20,0,1,1,9,18,5,0,11
2,169.7,5,0,23,60,0,5,0,1,1,4,6,20,301,14,3,8,3,0,24,4,0,6
3,571.5,8,3,14,144,2,0,0,11,0,1,4,18,266,15,0,17,5,1,33,9,0,0
4,977,3.5,4,21,150,0,5,0,18,0,4,4,40.5,198.5,17,0,33,10,0,7,6,0,3
5,1386.3,9,8,11,148,1,3,0,14,0,1,10,11,213,20,0,17,12,0,3,5,0,4
6,1791.5,5,4,14,156,0,0,0,6,1,4,11,25,196,28,0,17,8,2,3,6,0,3
7,2599.8,1,8,7,158,0,2,0,7,6,3,7,11,263,22,0,16,11,2,10,6,0,0
8,3003.5,3,10,8,164,0,2,0,10,5,4,0,12,250,19,0,17,6,3,2,6,0,2
