Sample,YrBP,Abies,Acer,Alnus,Betula,Carya,Corylus,Cupressaceae,Fagus,Fraxinus,Larix,Ostrya.Carpinus,Picea,Pinus,Quercus,Tilia,Tsuga,Ulmus,Amaranthaceae,Ambrosia,Artemisia,Asteraceae,Poaceae
site_10316_15660_26,2500,0.007277481,0.027343145,0,0.444632061,0.001034154,0.001034154,0,0.009690968,0,0.001034154,0.019720484,0.004820343,0.353087646,0.048372785,0.002770545,0.039083911,0.017281856,0,0.012122965,0.005854496,0.001034154,0.003804698
site_10316_15660_27,2600,0.005736509,0.02963013,0,0.441744469,0.000590408,0.000590408,0,0.009343421,0,0.000937709,0.019036413,0.005137298,0.358658529,0.049857659,0.002108972,0.040265369,0.01624239,0,0.01040822,0.006075007,0.000590408,0.003046682
site_10316_15660_28,2700,0.003890441,0.03014929,0,0.436278291,0.000521282,0.000201088,0,0.007896526,0,0.001182402,0.018347296,0.005681732,0.372045741,0.050585496,0.001257112,0.03852445,0.015455025,0,0.008479091,0.006223746,0.000201088,0.003079901
site_10316_15660_29,2800,0.002521945,0.029889875,0,0.432256948,0.00057491,0,0,0.006665669,0,0.00145663,0.017627076,0.006139824,0.38312572,0.051025338,0.000649012,0.036487938,0.014872423,0,0.007004598,0.006446635,0,0.00325546
site_10316_15660_30,2900,0.001621657,0.029126076,0,0.431181381,0.000938331,0,0,0.00562679,0,0.001670337,0.016305048,0.006228979,0.391285801,0.051111419,0.000304917,0.033983111,0.014487728,0,0.005906719,0.00671693,0.000115713,0.003389065
site_10316_15660_31,3000,0.001101682,0.029356671,0,0.426891472,0.001468692,2.47E-05,0,0.004676295,0,0.001945355,0.014867506,0.005649849,0.401551404,0.051257023,7.44E-05,0.031138837,0.014052642,0,0.005344291,0.006552081,0.000295121,0.00375196
site_10316_15660_32,3100,0.001241233,0.028715973,0,0.429063884,0.002162321,0.000227059,0,0.003980991,0,0.001879918,0.014402339,0.004896358,0.402539564,0.050468216,0,0.028258787,0.015272831,0,0.005944467,0.00635019,0.000460544,0.004135326
site_10316_15660_33,3200,0.00133658,0.029264472,0,0.433989259,0.002695947,0.000456432,0,0.003949979,0,0.001573845,0.013172631,0.003909048,0.398850938,0.050517711,0,0.026893822,0.016143248,0,0.006324572,0.006451261,0.000679683,0.003790573
site_10316_15660_34,3300,0.001526784,0.029731589,0,0.438978642,0.003239137,0.000707482,0,0.003934894,0,0.001192248,0.011618577,0.002780276,0.395258868,0.051316569,0,0.025069208,0.016863381,0,0.006671853,0.006715979,0.001038597,0.003355915
site_10316_15660_35,3400,0.002172815,0.029153005,0,0.440568249,0.003465842,0.001012326,0,0.003976987,0,0.000788697,0.010303475,0.001761342,0.393742813,0.05457447,0,0.021888703,0.01712872,0,0.00719922,0.007494822,0.001625098,0.003143416
