"Sample","YrBP","Abies","Cupressaceae","Larix","Picea","Pinus","Tsuga","Acer","Alnus","Betula","Carya","Corylus","Fagus","Fraxinus","Ostrya.Carpinus","Quercus","Tilia","Ulmus","Ambrosia","Artemisia","Asteraceae","Amarantaceae","Poaceae"
"Pene9",1145,6,0,0,5,140,25,6,5,128,0,1,0,2,2,9,3,2,1,1,1,1,0
"Pene10",1570,1,2,0,4,105,39,8,5,152,0,1,0,3,3,4,0,7,1,1,0,1,1
"Pene11",2004,5,0,0,4,95,44,18,4,121,0,0,0,4,3,15,1,4,0,1,1,1,2
"Pene12",2432,2,3,0,2,131,24,20,9,114,2,4,0,3,5,13,3,9,1,1,0,1,0
"Pene13",2849,2,0,0,1,92,38,9,8,144,0,1,0,4,3,11,0,5,2,0,1,0,1
"Pene14",3260,3,0,0,1,154,17,16,7,90,0,0,1,1,7,14,3,10,0,3,0,0,1
"Pene15",3494,1,3,0,2,176,4,15,8,73,0,3,0,5,3,23,2,2,0,2,3,2,0
"Pene16",3719,2,2,0,1,156,14,10,22,47,0,2,1,5,9,28,7,10,2,2,1,1,0
"Pene17",4198,0,0,0,1,173,9,29,15,31,0,2,0,4,8,36,2,11,2,1,1,0,1
"Pene18",4430,1,0,0,1,175,9,35,10,47,0,1,0,3,5,31,3,9,1,2,0,6,0
"Pene19",4670,0,0,0,1,203,9,17,10,43,0,4,0,0,7,17,3,9,3,2,1,1,1
"Pene20",5037,1,0,0,4,179,16,17,8,34,0,0,0,2,1,31,2,14,4,1,0,0,2
"Pene21",5084,5,3,0,1,171,49,13,6,36,0,2,1,4,3,14,4,6,2,8,1,5,2
"Pene22",5131,2,0,0,1,165,71,7,12,29,0,1,0,5,1,20,2,3,1,2,1,0,1
"Pene23",5178,1,0,0,0,166,48,17,23,31,1,1,0,1,1,18,2,11,4,6,1,2,0
"Pene24",5228,0,0,0,0,148,45,11,10,38,0,4,1,2,4,33,2,14,3,4,0,3,0
"Pene25",5330,2,0,0,1,178,12,18,8,59,0,1,0,4,3,18,2,8,6,5,0,1,0
"Pene26",5432,2,0,0,1,130,5,13,9,126,0,2,0,1,2,24,0,5,2,1,0,2,2
"Pene27",5534,2,0,1,0,157,9,15,16,70,0,1,0,3,2,25,2,7,5,2,0,2,1
"Pene28",5636,2,1,0,0,192,4,3,9,68,0,1,0,4,2,25,1,5,4,1,0,2,0
"Pene29",5741,3,2,0,0,186,0,11,11,75,0,2,0,0,3,19,0,8,4,4,2,2,1
"Pene30",5958,2,4,0,0,222,0,9,11,35,0,3,0,1,4,24,2,8,1,5,1,0,0
"Pene31",6172,1,1,0,1,200,0,8,5,65,0,0,0,4,1,19,0,13,5,0,0,1,0
"Pene32",6454,1,2,1,1,172,0,14,6,60,0,3,0,1,5,30,1,6,6,4,3,1,2
"Pene33",6754,2,3,0,0,218,0,8,5,53,0,1,1,3,1,15,1,6,2,4,1,4,1
"Pene34",7047,3,0,0,1,200,0,14,4,54,0,4,1,1,1,25,1,11,1,4,2,3,1
"Pene35",7345,3.5,0,0,0,260.5,0,8,2,34,0,2,0,2,10,13,2,12,7,4,2,1,0
"Pene36",7938,0,0,0,0,187,0,1,8,61,1,2,0,4,0,16,1,23,9,4,1,4,0
"Pene37",8372,8,0,0,6,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pene38",8553,2,2,0,10,194,0,1,32,35,1,1,0,1,1,17,1,9,2,0,2,1,1
"Pene39",9094,2,1,0,23,231,0,1,6,22,1,1,0,8,0,13,0,14,7,2,0,2,0
"Pene40",9675,1,4,0,22,166,0,3,8,30,3,2,0,3,2,26,0,33,2,1,0,2,2
"Spir01",-20,3,19,1,4,103,83,16,6,136,0,0,7,5,13,16,1,5,7,2,0,1,5
"Spir02",-10,2,12,0,8,89,58,16,5,113,1,0,9,0,2,15,1,13,5,4,2,2,2
"Spir03",10,2,7,0,4,67,28,18,6,123,0,0,13,0,3,20,0,8,24,1,0,3,6
"Spir04",40,4,6,0,7,75,58,7,8,113,0,0,17,0,5,18,1,3,36,5,0,5,3
"Spir05",50,3,6,6,5,100,66,17,12,160,0,0,14,0,8,9,0,5,25,2,0,2,6
"Spir06",60,4,4,0,2,70,56,13,18,137,1,0,19,0,7,12,0,8,20,1,0,2,4
"Spir07",70,3,12,0,4,83,54,9,7,133,1,0,23,0,0,23,0,7,16,2,2,1,7
"Spir08",100,5,2,0,7,117,87,15,7,158,1,0,11,0,3,18,4,6,9,3,0,1,0
"Spir09",160,4,1,3,4,60,60,17,7,152,0,0,9,0,8,17,0,9,5,3,1,0,4
"Spir10",350,1,4,0,7,112,96,12,6,171,1,1,9,0,10,16,1,12,4,5,2,1,0
"Spir11",435,5,2,3,5,93,91,11,2,178,0,0,10,0,3,14,0,10,1,0,0,1,2
"Spir12",535,2,4,0,23,97,79,12,8,127,1,0,16,0,0,25,1,9,4,3,0,0,4
"Spir13",685,3,4,0,4,125,82,9,12,125,0,0,8,0,2,15,2,3,3,0,0,1,4
"Spir14",880,2,4,0,15,114,77,13,6,163,1,0,11,0,0,16,3,12,3,0,3,2,7
"Spir15",1100,1,3,0,5,102,83,13,6,116,1,0,4,0,8,12,0,10,0,1,0,0,1
"Spir16",1295,5,4,0,20,92,84,13,6,136,2,0,4,0,0,10,1,8,2,0,2,2,3
"Spir17",1810,5,2,0,19,129,42,13,3,137,0,1,2,0,6,25,0,0,2,1,1,0,4
"Spir18",2515,1,7,0,6,135,35,12,7,198,0,0,5,0,5,18,1,11,3,0,0,0,2
"Spir19",2965,2,6,0,3,89,66,10,5,180,0,0,5,0,6,16,1,11,1,3,0,0,1
"Spir20",3555,1,1,0,5,95,43,24,5,151,0,0,1,0,4,24,2,5,2,0,3,0,1
"Spir21",4015,3,15,2,6,169,10,20,14,144,0,0,2,0,7,18,0,3,2,3,2,2,1
"Spir22",4200,1,7,0,3,160,16,5,8,95,1,0,1,0,4,20,1,11,1,5,0,0,0
"Spir23",4395,0,21,0,3,162,8,11,11,60,0,0,0,0,9,25,2,13,0,1,0,1,0
"Spir24",4550,1,12,0,2,140,17,9,9,86,0,0,2,0,4,51,2,13,2,1,0,2,4
"Spir25",4765,1,8,1,10,164,3,18,12,114,0,0,1,0,7,65,4,13,3,1,0,2,0
"Spir26",4895,3,13,0,7,148,9,30,6,72,0,0,1,0,13,53,1,9,3,0,2,2,0
"Spir27",4950,0,41,2,10,118,14,18,9,73,0,0,0,0,11,55,2,11,1,1,1,3,2
"Spir28",5035,0,11,2,4,157,17,23,2,47,0,0,2,0,2,55,2,21,0,2,2,3,1
"Spir29",5195,1,24,0,9,174,55,22,8,68,0,0,3,7,7,36,1,16,1,5,1,2,3
"Spir30",5320,1,1,1,7,207,46,10,16,28,3,0,0,7,3,25,0,5,4,4,2,0,5
"Spir31",5425,1,15,0,4,177,60,5,7,37,0,0,0,10,5,26,0,6,3,3,1,1,2
"Spir32",5520,0,7,2,3,162,66,13,9,80,0,0,1,0,2,26,1,12,6,4,0,0,3
"Spir33",5685,1,9,0,8,242,65,11,11,86,0,0,3,0,7,36,2,14,5,4,1,2,0
"Spir34",5875,1,16,0,3,193,50,12,7,45,0,0,0,0,0,23,1,12,3,2,0,1,1
"Spir35",6285,5,26,0,5,247,17,6,7,31,1,0,0,0,8,34,0,8,2,0,0,1,0
"Spir36",6500,2,11,0,11,325,2,16,9,57,2,0,0,6,12,55,0,9,4,4,1,4,2
"Spir37",6850,1,5,0,3,326,1,27,4,76,0,0,1,11,14,58,3,12,5,4,0,3,0
"Spir38",7250,2,6,0,2,352,0,9,5,56,0,0,0,0,8,49,0,14,3,2,4,4,0
"Spir39",7740,8,2,0,7,316,0,7,8,50,0,0,0,0,1,20,0,7,2,2,1,1,3
"Spir40",8175,8,10,1,11,450,0,3,17,124,0,0,0,7,13,16,0,16,4,8,2,1,5
"Spir41",8810,10,0,1,18,213,0,2,21,141,0,0,0,5,5,9,0,12,2,5,0,1,3
"Spir42",9445,6,3,2,19,188,0,0,22,128,0,0,0,0,3,9,0,11,1,4,2,1,1
"Spir43",9535,6,0,2,39,248,0,0,26,149,1,2,0,2,5,27,0,10,10,8,2,12,4
"Spir44",9830,10,9,3,33,339,0,2,8,97,0,0,1,0,8,17,0,8,5,12,5,7,2
"Spir45",10290,6,4,6,47,218,0,2,5,86,0,0,0,2,5,14,0,4,3,11,0,2,3
"Spir46",10620,12,11,2,22,277,0,2,4,83,0,2,1,3,9,20,0,12,6,1,0,2,4
"Spir47",11105,8,2,3,30,228,0,2,1,58,2,0,0,6,6,24,0,0,5,6,2,2,2
"Spir48",11295,12,0,4,34,271,0,0,3,55,0,0,0,5,9,25,0,15,4,4,4,1,0
"Spir49",12305,8,4,6,37,240,0,0,3,36,2,0,0,4,8,39,0,29,2,5,5,6,0
"Spir50",12710,0,5,14,75,131,0,5,1,20,3,0,0,6,20,34,0,33,1,12,1,1,5
"Spir51",12895,7,9,1,59,153,0,1,1,13,3,0,0,5,5,34,0,15,8,26,5,0,0
"Spir52",13090,0,9,0,53,195,0,0,1,5,1,0,0,8,1,12,0,14,0,17,0,3,2
"Spir53",13250,0,0,0,3,14,0,0,0,1,1,0,0,0,0,0,0,2,0,2,1,0,0
"Spir54",13345,0,0,0,3,7,0,0,0,1,0,0,0,0,0,2,0,0,1,4,1,0,0
"Spir55",13635,5,0,3,50,216,0,1,2,24,1,0,0,9,14,40,0,44,3,10,4,2,0
"Sout1",-41,2,0,0,14,104,26,13,1,11,0,1,20,4,0,8,0,0,2,0,0,0,1
"Sout2",4,0,0,0,1,112,1,2,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0
"Sout3",38,3,1,0,8,90,15,3,0,37,0,0,36,1,0,9,0,1,6,0,0,1,5
"Sout4",61,3,0,0,16,83,10,5,1,44,0,0,30,1,0,6,0,2,15,4,1,1,9
"Sout5",95,6,0,0,13,18,30,1,1,95,0,0,31,1,0,6,0,1,20,1,0,3,2
"Sout6",119,6,0,0,16,73,27,3,0,49,0,0,25,0,0,5,0,2,4,0,0,0,1
"Sout7",189,7,0,0,14,107,14,2,0,58,0,0,9,1,0,3,0,1,0,0,0,0,0
"Sout8",239,7,0,0,10,88,6,5,1,62,0,0,13,0,0,6,0,4,0,2,0,1,2
"Sout9",312,4,0,0,10,129,18,0,0,34,0,0,19,0,0,6,0,1,2,0,0,0,0
"Sout10",363,3,0,0,13,97,54,0,0,20,0,0,12,0,0,0,1,0,0,1,0,0,0
"Sout11",441,11,0,0,7,107,39,0,0,28,0,0,10,0,0,4,0,2,2,0,0,0,0
"Sout12",489,3,0,0,11,106,32,1,0,21,0,0,27,0,0,3,0,1,1,1,0,0,0
"Sout13",564,4,0,0,5,77,30,0,2,46,0,0,47,0,1,2,0,1,1,2,0,0,0
"Sout14",613,0,0,0,11,90,17,0,1,65,0,0,46,0,0,1,0,1,1,1,0,0,0
"Sout15",687,0,0,1,9,117,32,0,0,38,0,0,20,0,0,2,0,0,0,1,0,1,0
"Sout16",738,5,0,0,29,97,20,0,1,38,1,0,7,0,0,3,0,0,0,0,0,0,0
"Sout17",811,4,0,0,14,109,20,0,1,26,0,0,29,0,0,1,0,0,1,0,0,0,0
"Sout18",859,0,0,0,4,140,14,4,0,21,0,0,16,0,0,1,0,0,0,1,0,0,0
"Sout19",957,4,0,1,4,103,32,1,1,38,0,0,19,0,0,1,0,2,0,0,0,0,0
