ID2,Long,Lat,x-error (m),y-error (m),avg-error (m),,
75,-89.9,46.25,384.89,556.59,470.74,,
76,-81.317,48.4,36.95,55.66,46.305,,
77,-73.217,46,38.66,55.66,47.16,,
78,-93.6,47.283,37.76,55.66,46.71,,
79,-66.717,45.144,39.26,55.66,47.46,,
80,-91.483,45.283,39.16,55.66,47.41,,
81,-83.258,30.725,47.85,55.66,51.755,,
82,-73.303,45.992,38.67,55.66,47.165,,
83,-101.233,62.633,25.59,55.66,40.625,,
84,-80.66,43.225,40.56,55.66,48.11,,
85,-71.423,47.078,37.9,55.66,46.78,,
86,-94.933,47.183,37.83,55.66,46.745,,
87,-64.833,56.783,30.49,55.66,43.075,,
88,-71.433,41.783,41.5,55.66,48.58,,
89,-89.417,43.1,40.64,55.66,48.15,,
90,-89.417,43.1,40.64,55.66,48.15,,
91,-75.507,45.4,39.08,55.66,47.37,,
92,-73.283,41.817,41.48,55.66,48.57,,
93,-69.3,43.767,40.19,55.66,47.925,,
94,-58.05,52.267,34.06,55.66,44.86,,
95,-68.639,44.628,39.61,55.66,47.635,,
96,-81.867,29.3,48.54,55.66,52.1,,
97,-93.383,47.983,37.26,55.66,46.46,,
98,-61.817,56.533,30.69,55.66,43.175,,
99,-95.386,34.663,45.78,55.66,50.72,,
100,-103.483,61.583,26.49,55.66,41.075,,
101,-81.5,46.6,3824.23,5565.85,4695.04,,
102,-79.467,46.45,38.35,55.66,47.005,,
103,-73.05,42.65,409.37,556.59,482.98,,
104,-60.167,53.517,33.09,55.66,44.375,,
105,-95.2,43.333,40.48,55.66,48.07,,
106,-94.4,46.35,384.18,556.59,470.385,,
107,-77.5081,40.7918,4.21,5.57,4.89,,
108,-57.75,53.05,334.57,556.59,445.58,,
109,-71.45,41.517,41.67,55.66,48.665,,
110,-97.2708,45.5025,3.9,5.57,4.735,,
111,-93.633,45.033,39.33,55.66,47.495,,
112,-81.25,42.917,40.76,55.66,48.21,,
113,-80.1389,37.601,4.41,5.57,4.99,,
114,-85.25,41.583,41.63,55.66,48.645,,
115,-64.8,47.075,37.91,55.66,46.785,,
116,-65.167,57.633,29.8,55.66,42.73,,
117,-76.1,45.6,3894.22,5565.85,4730.035,,
118,-92.7,49.35,362.58,556.59,459.585,,
119,-93.167,32.467,46.96,55.66,51.31,,
120,-99.65,50.717,35.24,55.66,45.45,,
121,-76.683,36.167,44.93,55.66,50.295,,
122,-57.717,54.4,32.4,55.66,44.03,,
123,-81.95,27.967,49.16,55.66,52.41,,
124,-64.183,45.017,39.34,55.66,47.5,,
125,-82,29.517,48.43,55.66,52.045,,
126,-83.8,40.35,424.18,556.59,490.385,,
127,-91.567,49.933,35.83,55.66,45.745,,
128,-100.75,63.033,25.24,55.66,40.45,,
129,-63.883,56.633,30.61,55.66,43.135,,
130,-76.35,41.674,41.57,55.66,48.615,,
131,-58.917,53.95,32.75,55.66,44.205,,
132,-84.689,40.217,42.5,55.66,49.08,,
133,-52.667,47.617,37.52,55.66,46.59,,
134,-102.509,41.721,41.54,55.66,48.6,,
135,-74.483,40.4,42.39,55.66,49.025,,
136,-91.45,44.15,399.36,556.59,477.975,,
137,-75.2667,41.0382,4.2,5.57,4.885,,
138,-70.62,46.58,382.56,556.59,469.575,,
139,-96.083,47.2,37.82,55.66,46.74,,
140,-73.317,45.546,38.98,55.66,47.32,,
141,-65.167,55.767,31.31,55.66,43.485,,
142,-81.5,27.583,49.33,55.66,52.495,,
143,-67.5,55.017,31.91,55.66,43.785,,
144,-62.05,57.383,30,55.66,42.83,,
145,-79.38,44,400.37,556.59,478.48,,
146,-78.95,44.617,39.62,55.66,47.64,,
